Date,Time,Currency,Impact,Event,Previous,Forecast,Actual
Jan09.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,06::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,07::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,08::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,20::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,23::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan09.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,12::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,07::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,09::05,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,10::02,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,10::10,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,10::59,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,14::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan10.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,12::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,03::35,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,05::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,08::57,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,10::33,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,18::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,21::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan11.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,01::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,05::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,24::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,17::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,18::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,19::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan12.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,03::18,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,03::22,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,07::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,24::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan13.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan14.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan14.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan15.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan15.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,12::01,N/A,N/A,N/A,N/A,N/A,N/A
